MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated_v,Coated_t,Coated_1v,Coated_1t,Coated_2v,Coated_2t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
1,0,0,1,0,0,1,0,0.615969582,1,1,1,0.666666667,0.05,0,0,0,1,0.5,0.75,0.5,0.222222222,0,0,0,0,0.115,0.285714286,0.022222222,0.650769231,0.644918444,0.920094007,0.479075329
1,0,0,1,0,0,1,0,0.615969582,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,0.75,0.5,0.333333333,0,0,0,0,0.2,0.285714286,0.111111111,0.677538462,0.608531995,0.890716804,0.646472698
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,1,0.5,0.333333333,0,0,0,0,0.2,0.285714286,0.111111111,0.656923077,0.589711418,0.935370153,0.63969709
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,1,0.5,0.333333333,0,0,0,0,0.2,0.285714286,0.111111111,0.639692308,0.577164366,0.81786134,0.5308888
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,1,0.5,0.333333333,0,0,0,0,0.2,0.285714286,0.111111111,0.583384615,0.633626098,0.796709753,0.555599841
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.666666667,0.228571429,1,0,1,1,0.5,1,0.375,0.222222222,0,0,0,0,0.5,0.357142857,0.222222222,0.797230769,0.730865747,0.976498237,1
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.666666667,0.228571429,0,0,0,0,0.5,1,0.375,0.222222222,0,0,0,0,0.5,0.357142857,0.222222222,0.796,0.694479297,0.963572268,0.935831008
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,0,0,1,0.055555556,0.361846154,0.608531995,0.681551116,0.263053009
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,0,0,1,0.055555556,0.386153846,0.614805521,0.810810811,0.338780391
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,0,0,0.428571429,0.055555556,0.415076923,0.633626098,0.681551116,0.314866481
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,0,0,0.428571429,0.055555556,0.410461538,0.658720201,0.728554642,0.346751694
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,0,0,1,0.055555556,0.422153846,0.734002509,0.799059929,0.43443603
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,0,0,1,0.055555556,0.430153846,0.734002509,0.869565217,0.478278198
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.501538462,0.426599749,0.564042303,0.208449582
1,0,0,0,1,0,0.666666667,0.333333333,0.593155894,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.442461538,0.483061481,0.587544066,0.218413711
1,0,0,0,1,0,0.333333333,0.666666667,0.66539924,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.378461538,0.514429109,0.669800235,0.22837784
1,0,0,0,1,0,0,1,0.817490494,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.357142857,0.333333333,0.254153846,0.514429109,0.693301998,0.170187326
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.333333333,0.142857143,0,0,0,0,1,1,0,0,1,0.083333333,0.666666667,0.6,0,0.2,0.333333333,0.198461538,0.608531995,0.807285546,0.171383021
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0.028571429,0,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0,0,0.714285714,0.055555556,0.230153846,0.746549561,0.808460635,0.243921881
