iter	RMSE
0	5.458545469
1	5.113235242
2	4.793974512
3	4.497282822
4	4.254714387
5	4.047156813
6	3.839964542
7	3.646196646
8	3.474249039
9	3.32513847
10	3.186444703
11	3.068325394
12	2.942885348
13	2.85481357
14	2.754247504
15	2.675808133
16	2.602121602
17	2.538200795
18	2.4766855
19	2.420942566
20	2.368534544
21	2.313518172
22	2.272519622
23	2.217157242
24	2.177542501
25	2.133854025
26	2.100855334
27	2.065259912
28	2.041239793
29	2.023459283
30	1.992062435
31	1.950804748
32	1.923531212
33	1.908647331
34	1.891420585
35	1.873871794
36	1.844199707
37	1.829322622
38	1.812284871
39	1.788414098
40	1.770285885
41	1.756494394
42	1.747854554
43	1.730841514
44	1.706015855
45	1.689503438
46	1.673910265
47	1.663644842
48	1.652681524
49	1.641845231
50	1.638163446
51	1.623650553
52	1.603917913
53	1.598019598
54	1.582872774
55	1.571292862
56	1.563279617
57	1.55273863
58	1.541362984
59	1.532362258
60	1.519428925
61	1.505274766
62	1.496952389
63	1.484172185
64	1.471473009
65	1.46004049
66	1.453252433
67	1.443925788
68	1.43659549
69	1.43021541
70	1.423644978
71	1.411793799
72	1.401019243
73	1.395115197
74	1.383978341
75	1.375397331
76	1.367133361
77	1.35998488
78	1.352695443
79	1.346349052
80	1.337092999
81	1.321142627
82	1.313014797
83	1.309735572
84	1.304168604
85	1.296855167
86	1.293851792
87	1.291138388
88	1.285969604
89	1.280581171
90	1.278295557
91	1.276676013
92	1.269131958
93	1.265926413
94	1.258124803
95	1.256341636
96	1.251651926
97	1.245167209
98	1.241140037
99	1.235657593
100	1.231316735
101	1.221619951
102	1.217801362
103	1.21606967
104	1.214507549
105	1.209401192
106	1.203158788
107	1.198651166
108	1.192850799
109	1.18558772
110	1.181811906
111	1.174561221
112	1.16928064
113	1.168211085
114	1.159504463
115	1.155581127
116	1.150876649
117	1.142567882
118	1.136321252
119	1.132062764
120	1.130753764
121	1.124546869
122	1.123052445
123	1.117990972
124	1.113725319
125	1.108027983
126	1.104186315
127	1.10050865
128	1.098370035
129	1.095557205
130	1.091855673
131	1.087675111
132	1.082854487
133	1.080742484
134	1.075859894
135	1.072473106
136	1.069401744
137	1.065411273
138	1.061086552
139	1.059623895
140	1.057204238
141	1.054489596
142	1.051912173
143	1.051118944
144	1.048093255
145	1.046939411
146	1.04392025
147	1.040359914
148	1.039191033
149	1.038155649
150	1.036269523
151	1.03375204
152	1.031271092
153	1.029291828
154	1.027508638
155	1.025341317
156	1.022179446
157	1.021274552
158	1.019496308
159	1.017397069
160	1.011912993
161	1.010946899
162	1.007379086
163	1.005769661
164	1.004145944
165	1.001020204
166	0.999327062
167	0.998318854
168	0.9957081366
