MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,example,note,perovskite
0,0,1,1,0,0,0.333333333,0.666666667,0.790874525,0,1,1,0.333333333,0.064285714,0,0,0,0,0.5,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,1,origin,CsPbIBr2
0,0,1,0.95,0.05,0,0.333333333,0.666666667,0.790874525,0,1,1,0.333333333,0.064285714,0,0,0,0,0.5,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,1,introduce Sn,CsPb0.18Sn0.02IBr2
0,0,1,0.9,0.1,0,0.333333333,0.666666667,0.790874525,0,1,1,0.333333333,0.064285714,0,0,0,0,0.5,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,1,introduce Sn,CsPb0.16Sn0.04IBr2
0,0.05,0.95,1,0,0,0.333333333,0.666666667,0.790874525,0,1,1,0.333333333,0.064285714,0,0,0,0,0.5,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,1,introduce FA,FA0.02Cs0.18PbIBr2
0,0.1,0.9,1,0,0,0.333333333,0.666666667,0.790874525,0,1,1,0.333333333,0.064285714,0,0,0,0,0.5,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,1,introduce FA,FA0.04Cs0.16PbIBr2
0,0,1,1,0,0,0.333333333,0.666666667,0.790874525,0,1,1,0.333333333,0.064285714,1,0,0,1,0.5,0.5,0.3125,0.333333333,0,0,0,0.457142857,0.222222222,2,O_add,CsPbIBr2
1,0,0,0.75,0.25,0,1,0,0.448669202,0,1,0.666666667,0.666666667,0.064285714,0,0,0,1,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,2,origin,MAPb0.75Sn0.25I3
0.9,0.1,0,0.75,0.25,0,1,0,0.448669202,0,1,0.666666667,0.666666667,0.064285714,0,0,0,1,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,2,introduce FA,FA0.04MA0.16Pb0.75Sn0.25I3
1,0,0,0.75,0.25,0,1,0,0.448669202,0,1,0.666666667,0.666666667,0.064285714,1,0,0,1,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,2,O_add,MAPb0.75Sn0.25I3
0.9,1,0,0.75,0.25,0,1,0,0.448669202,0,1,0.666666667,0.666666667,0.064285714,1,0,0,1,1,0.75,0.625,0.333333333,0.666666667,0.5,0,0.342857143,0.222222222,2,introduce FA and O_dd,FA0.04MA0.16Pb0.75Sn0.25I3
0,0,1,0.8,0,0.2,0.666666667,0.333333333,0.718631179,0,0.666666667,0.333333333,0.333333333,0.071428571,0,0,0,1,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,3,origin,
0,0,1,0.77,0,0.23,0.666666667,0.333333333,0.718631179,0,0.666666667,0.333333333,0.333333333,0.071428571,0,0,0,1,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,3,more detailed divisions,
0,0.05,0.95,0.8,0,0.2,0.666666667,0.333333333,0.718631179,0,0.666666667,0.333333333,0.333333333,0.071428571,0,0,0,1,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,3,introduce FA,
0,0,1,0.77,0,0.23,0.666666667,0.333333333,0.718631179,0,0.666666667,0.333333333,0.333333333,0.071428571,1,0,0,1,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,3,more detailed divisions and O_add,
0,0.05,0.95,0.8,0,0.2,0.666666667,0.333333333,0.718631179,0,0.666666667,0.333333333,0.333333333,0.071428571,1,0,0,1,0.5,0.75,0.375,0.277777778,0,0,0.5,0.457142857,0.111111111,3,introduce FA and O_dd,
