MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
1,0,0,1,0,0,1,0,0.615969582,1,1,1,0.666666667,0.05,0,0,0,1,0.5,0.75,0.5,0.222222222,0,0,0.115,0.285714286,0.022222222,21.15,1.028,0.783,12.02
1,0,0,1,0,0,1,0,0.615969582,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,0.75,0.5,0.333333333,0,0,0.2,0.285714286,0.111111111,22.02,0.97,0.758,16.22
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,1,0.5,0.333333333,0,0,0.2,0.285714286,0.111111111,21.35,0.94,0.796,16.05
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,1,0.5,0.333333333,0,0,0.2,0.285714286,0.111111111,20.79,0.92,0.696,13.32
1,0,0,1,0,0,1,0,0.6121673,0,0.666666667,0.333333333,0.333333333,0.064285714,0,0,0,0,0.5,1,0.5,0.333333333,0,0,0.2,0.285714286,0.111111111,18.96,1.01,0.678,13.94
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.666666667,0.228571429,1,0,1,1,0.5,1,0.375,0.222222222,0,0,0.5,0.357142857,0.222222222,25.91,1.165,0.831,25.09
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.666666667,0.228571429,0,0,0,0,0.5,1,0.375,0.222222222,0,0,0.5,0.357142857,0.222222222,25.87,1.107,0.82,23.48
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,11.76,0.97,0.58,6.6
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,12.55,0.98,0.69,8.5
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,13.49,1.01,0.58,7.9
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,13.34,1.05,0.62,8.7
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,13.72,1.17,0.68,10.9
0,0,1,1,0,0,0.666666667,0.333333333,0.72243346,0,0.333333333,0.333333333,1,0.05,0,1,0,1,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,13.98,1.17,0.74,12
1,0,0,0,1,0,1,0,0.494296578,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,16.3,0.68,0.48,5.23
1,0,0,0,1,0,0.666666667,0.333333333,0.593155894,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,14.38,0.77,0.5,5.48
1,0,0,0,1,0,0.333333333,0.666666667,0.66539924,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,12.3,0.82,0.57,5.73
1,0,0,0,1,0,0,1,0.817490494,0,0.333333333,0.333333333,0.333333333,0.071428571,0,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,8.26,0.82,0.59,4.27
0,1,0,1,0,0,1,0,0.570342205,0,0.333333333,0.333333333,0.333333333,0.142857143,0,0,0,0,1,1,0.75,0.055555556,0.666666667,0.5,0,0.2,0.333333333,6.45,0.97,0.687,4.3
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0.028571429,0,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,7.48,1.19,0.688,6.12
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0.028571429,0,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,5.32,1.23,0.812,5.33
