MA,FA,Cs,Pb,Sn,Other,I,Br,Po,ETL,HTL,Ne,Add_O,Add_I,Add_H,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,Antisolvent,Anneal_T,Anneal_t,Gap
1,0,0,1,0,0,1,0,1,1,1,0.666666667,0,0,0,0.5,0.75,0.5,0.222222222,0,0,1,0.285714286,0.022222222,0.615969582
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,0.75,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.615969582
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.6121673
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.6121673
1,0,0,1,0,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0,0,0.5,1,0.5,0.333333333,0,0,1,0.285714286,0.111111111,0.6121673
0,1,0,1,0,0,1,0,0,0.333333333,0.333333333,0.666666667,1,0,1,0.5,1,0.375,0.222222222,0,0,1,0.357142857,0.222222222,0.570342205
0,1,0,1,0,0,1,0,0,0.333333333,0.333333333,0.666666667,0,0,0,0.5,1,0.375,0.222222222,0,0,1,0.357142857,0.222222222,0.570342205
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,0,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,0.428571429,0.055555556,0.72243346
0,0,1,1,0,0,0.666666667,0.333333333,0,0.333333333,0.333333333,1,0,1,0,0.5,0.75,0.35,0.277777778,0,0,0,1,0.055555556,0.72243346
